Índice;N.º de pieza de DigiKey;Número de pieza del fabricante;Fabricante;Descripción;Cantidad;Precio por unidad;Precio total
1;1772-4187-ND;M2118-2545-SS;RAF Electronic Hardware;2.5MM TO 3.5MM JUMPER CABLE;1;6,70 €;6,70 €
2;889-52500005-732-ND;52500005-732;Amphenol Audio;4.5MM HEX X 23MM X M2.5 THD;16;3,12 €;49,84 €
3;1572-1476-ND;476CKH063M;Cornell Dubilier Knowles;AUDIO PLUG, 3.5 MM, STRAIGHT, 2;4;1,20 €;4,80 €
4;399-14010-1-ND;C315C104M5U5TA7301;KEMET;BATTERY HOLDER AA 2 CELL SMD;2;5,03 €;10,06 €
5;1N5817RLGOSCT-ND;1N5817RLG;onsemi;BATTERY HOLDER AA SMD;6;3,87 €;23,22 €
6;1N4148FS-ND;1N4148;onsemi;BLUE INA219 HIGH SIDE DC CURRENT SENSOR BREAKOUT - 26V ±3.2A MAX;1;21,18 €;21,18 €
7;1568-1785-ND;DEV-14495;SparkFun Electronics;BLUE INA219 HIGH SIDE DC CURRENT SENSOR BREAKOUT - 26V ±3.2A MAX;1;9,79 €;9,79 €
8;S7018-ND;PPTC201LFBN-RC;Sullins Connector Solutions;BME280 BOARD TEMPERATURE/HUMIDITY/PRESSURE;1;20,99 €;20,99 €
9;S7006-ND;PPTC081LFBN-RC;Sullins Connector Solutions;CAP ALUM 47UF 20% 63V RADIAL TH;3;0,37 €;1,11 €
10;S7037-ND;PPPC041LFBN-RC;Sullins Connector Solutions;CAP CER 0.1UF 50V Z5U RADIAL;4;0,20 €;0,80 €
11;455-1704-ND;B2B-PH-K-S;JST Sales America Inc.;CAP CER 18PF 50V C0G/NP0 0603;4;0,17 €;0,68 €
12;CP1-2503A-ND;SJ1-2503A;Same Sky (Formerly CUI Devices);CLEAR MOUNTING TAPE;2;7,41 €;14,82 €
13;C503B-GAN-CB0F0791-ND;C503B-GAN-CB0F0791;Cree LED;"COAX CBL SMA TO SMA 2.9""";4;6,67 €;26,68 €
14;C503B-BCN-CV0Z0462CT-ND;C503B-BCN-CV0Z0462;Cree LED;CONN HDR 20POS 0.1 TIN PCB;4;1,30 €;5,20 €
15;C503B-RAN-CZ0C0AA1-ND;C503B-RAN-CZ0C0AA1;Cree LED;CONN HDR 40POS 0.1 TIN PCB;2;2,41 €;4,82 €
16;CF12JT68R0CT-ND;CF12JT68R0;Stackpole Electronics Inc;CONN HDR 4POS 0.1 GOLD PCB;2;0,51 €;1,02 €
17;CF18JT180RCT-ND;CF18JT180R;Stackpole Electronics Inc;CONN HDR 8POS 0.1 TIN PCB;2;0,59 €;1,18 €
